a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,r18
217,,killstreak,KILLSTREAK_REMOTE_MORTAR,killstreak_remote_mortar,,hud_ks_reaper,KILLSTREAK_REMOTE_MORTAR_DESC,,,11,,0,killstreak3,,,1500,1,
218,,killstreak,KILLSTREAK_HELICOPTER_GUNNER,killstreak_helicopter_player_gunner,,hud_ks_heli_gunner,KILLSTREAK_HELICOPTER_GUNNER_DESC,,,6,,0,killstreak1,,,1600,1,
219,,killstreak,KILLSTREAK_DOGS,killstreak_dogs,4,hud_ks_dogs,KILLSTREAK_DOGS_DESC,,,50,,0,killstreak1,,,1700,1,
220,,killstreak,KILLSTREAK_MISSILE_SWARM,killstreak_missile_swarm,,hud_ks_harpy,KILLSTREAK_MISSILE_SWARM_DESC,,,53,,0,killstreak1,,,1900,1,
221,,killstreak,KILLSTREAK_HELICOPTER_PLAYER,killstreak_helicopter_player_firstperson,,hud_ks_player_helicopter,KILLSTREAK_HELICOPTER_PLAYER_DESC,,,,,-1,,,,,,
222,,killstreak,KILLSTREAK_NULL,killstreak_null,,killstreak_null,,,,,,-1,,,,,,
223,,,,,,,,,,,,,,,,,,
224,,feature,FEATURE_KILLSTREAKS,feature_killstreaks,,,FEATURE_KILLSTREAKS_DESC,,,6,,,,,,,,
225,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,
229,,feature,FEATURE_EMBLEM_TYPE_A_Z,feature_emblem_type_a_z,,,MENU_EMBLEM_TYPE_A_Z_DESC,,,50,,,,,,,,
230,,feature,FEATURE_EMBLEM_NUMBERS,feature_emblem_numbers,,,MENU_EMBLEM_NUMBERS_DESC,,,53,,,,,,,,
231,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,
233,,feature,FEATURE_CLOSEASSAULT,feature_closeassault,,,FEATURE_CLOSEASSAULT_DESC,,,1,,,,,,,,
234,,feature,FEATURE_SNIPER,feature_sniper,,,FEATURE_SNIPER_DESC,,,2,,,,,,,,
235,,feature,FEATURE_CREATE_A_CLASS,feature_cac,,,FEATURE_CREATE_A_CLASS_DESC,,,3,,,,,,,,
236,,,,,,,,,,,,,,,,,,
237,,feature,FEATURE_COMBAT_RECORD,feature_combat_record,,,FEATURE_COMBAT_RECORD_DESC,,,9,,,,,,,,
238,,feature,FEATURE_CLAN_TAG,feature_clantag,,,FEATURE_CLAN_TAG_DESC,,,9,,,,,,,,
239,,feature,FEATURE_PRESTIGE_LB,feature_prestige_lb,,,FEATURE_PRESTIGE_LB_DESC,,,,,,,,,,,
240,,feature,FEATURE_CHALLENGES,feature_challenges,,,FEATURE_CHALLENGES_DESC,,,,,,,,,,,
241,,feature,FEATURE_CHALLENGES_SPECIALS,feature_challenges_specials,,,FEATURE_CHALLENGES_SPECIALS_DESC,,,,,,,,,,,
242,,feature,FEATURE_PRESTIGE_CLASS_1,feature_prestige_class1,,,FEATURE_PRESTIGE_CLASS_1_DESC,,,,,,,1,1,,,
243,,feature,FEATURE_PRESTIGE_CLASS_2,feature_prestige_class2,,,FEATURE_PRESTIGE_CLASS_2_DESC,,,,,,,3,1,,,
244,,feature,FEATURE_PRESTIGE_CLASS_3,feature_prestige_class3,,,FEATURE_PRESTIGE_CLASS_3_DESC,,,,,,,5,1,,,
245,,feature,FEATURE_PRESTIGE_CLASS_4,feature_prestige_class4,,,FEATURE_PRESTIGE_CLASS_4_DESC,,,,,,,7,1,,,
246,,feature,FEATURE_PRESTIGE_CLASS_5,feature_prestige_class5,,,FEATURE_PRESTIGE_CLASS_5_DESC,,,,,,,9,1,,,
247,,,,,,,,,,,,,,,,,,
248,,feature,FEATURE_CHALLENGES_KILLSTREAKS,feature_challenges_killstreaks,,,FEATURE_CHALLENGES_KILLSTREAKS_DESC,,,,,,,,,,,
249,,feature,FEATURE_CHALLENGES_ELITE,feature_challenges_elite,,,FEATURE_CHALLENGES_ELITE_DESC,,,,,,,,,,,
250,,feature,FEATURE_CHALLENGES_FINAL,feature_challenges_final,,,FEATURE_CHALLENGES_FINAL_DESC,,,,,,,,,,,
251,,feature,FEATURE_CHALLENGES_GAMEMODE,feature_challenges_gamemode,,,FEATURE_CHALLENGES_GAMEMODE_DESC,,,,,,,,,,,
252,,feature,FEATURE_CHALLENGES_MEDALS,feature_challenges_medals,,,FEATURE_CHALLENGES_MEDALS_DESC,,,,,,,,,,,
253,,feature,FEATURE_ALLOCATION_SLOT_1,feature_allocation_slot_1,,,FEATURE_ALLOCATION_SLOT_1_DESC,,,0,,,,,,,,
254,,feature,FEATURE_ALLOCATION_SLOT_2,feature_allocation_slot_2,,,FEATURE_ALLOCATION_SLOT_2_DESC,,,0,,,,,,,,
255,,feature,FEATURE_ALLOCATION_SLOT_3,feature_allocation_slot_3,,,FEATURE_ALLOCATION_SLOT_3_DESC,,,0,,,,,,,,
